,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
0,JAIPUR PINK PANTHERS,U MUMBA,28,44,25,28,1,12,2,4,0,0,1,1
1,BENGALURU BULLS,DABANG DELHI K.C.,42,28,23,15,13,13,6,0,0,0,0,1
2,BENGALURU BULLS,PUNERI PALTAN,39,34,20,20,14,11,4,2,1,1,0,1
3,BENGAL WARRIORS,U MUMBA,24,35,17,24,7,9,0,2,0,0,1,1
4,DABANG DELHI K.C.,PUNERI PALTAN,35,31,23,22,10,7,2,2,0,0,0,1
5,U MUMBA,TELUGU TITANS,34,35,23,24,9,7,2,4,0,0,1,1
6,U MUMBA,PATNA PIRATES,35,32,22,23,9,7,4,2,0,0,0,1
7,BENGALURU BULLS,BENGAL WARRIORS,46,30,25,19,15,11,6,0,0,0,0,1
8,JAIPUR PINK PANTHERS,TELUGU TITANS,46,31,29,24,12,4,4,2,1,1,0,1
9,DABANG DELHI K.C.,BENGAL WARRIORS,39,40,26,25,9,11,4,4,0,0,1,1
10,PATNA PIRATES,TELUGU TITANS,34,35,27,27,4,6,2,2,1,0,1,1
11,BENGAL WARRIORS,PUNERI PALTAN,37,34,26,22,9,8,2,4,0,0,0,1
12,JAIPUR PINK PANTHERS,PATNA PIRATES,35,18,24,14,7,4,4,0,0,0,0,1
13,BENGAL WARRIORS,U MUMBA,28,38,22,26,6,8,0,4,0,0,1,1
14,DABANG DELHI K.C.,TELUGU TITANS,34,36,21,22,11,9,2,2,0,3,1,1
15,BENGALURU BULLS,PUNERI PALTAN,30,31,21,18,7,11,2,2,0,0,1,1
16,U MUMBA,PUNERI PALTAN,41,25,26,18,9,5,6,2,0,0,0,1
17,DABANG DELHI K.C.,PATNA PIRATES,30,33,26,20,4,9,0,4,0,0,1,1
18,BENGALURU BULLS,U MUMBA,32,43,22,22,10,13,0,6,0,2,1,1
19,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,29,36,17,18,10,14,2,4,0,0,1,1
20,DABANG DELHI K.C.,BENGAL WARRIORS,45,35,26,26,13,5,6,4,0,0,0,1
21,PATNA PIRATES,PUNERI PALTAN,34,26,25,22,4,4,0,0,5,0,0,1
22,BENGAL WARRIORS,TELUGU TITANS,39,34,29,26,8,6,2,2,0,0,0,1
23,U MUMBA,PATNA PIRATES,37,37,21,22,14,13,2,2,0,0,draw,1
24,JAIPUR PINK PANTHERS,TELUGU TITANS,48,29,30,20,11,6,4,2,3,1,0,1
25,DABANG DELHI K.C.,PATNA PIRATES,28,30,23,21,3,7,2,2,0,0,1,1
26,JAIPUR PINK PANTHERS,BENGAL WARRIORS,36,23,19,15,13,7,4,0,0,1,0,1
27,BENGALURU BULLS,PATNA PIRATES,33,33,22,25,7,6,4,2,0,0,draw,1
28,PUNERI PALTAN,TELUGU TITANS,34,41,25,29,7,8,2,4,0,0,1,1
29,BENGALURU BULLS,U MUMBA,32,27,20,18,8,9,2,0,2,0,0,1
30,BENGAL WARRIORS,PUNERI PALTAN,29,38,19,19,7,14,2,4,1,1,1,1
31,BENGALURU BULLS,DABANG DELHI K.C.,26,25,15,12,9,11,2,2,0,0,0,1
32,JAIPUR PINK PANTHERS,PUNERI PALTAN,48,22,26,16,16,6,6,0,0,0,0,1
33,DABANG DELHI K.C.,U MUMBA,34,22,19,18,11,4,4,0,0,0,0,1
34,PATNA PIRATES,PUNERI PALTAN,34,29,23,20,7,6,4,2,0,1,0,1
35,BENGALURU BULLS,TELUGU TITANS,28,28,19,18,9,8,0,2,0,0,draw,1
36,JAIPUR PINK PANTHERS,BENGAL WARRIORS,41,31,25,20,12,8,2,2,2,1,0,1
37,JAIPUR PINK PANTHERS,PATNA PIRATES,28,51,22,25,6,17,0,8,0,1,1,1
38,U MUMBA,TELUGU TITANS,42,42,33,33,6,3,2,6,1,0,draw,1
39,BENGAL WARRIORS,PATNA PIRATES,29,27,18,19,9,8,2,0,0,0,0,1
40,PUNERI PALTAN,TELUGU TITANS,23,58,22,35,1,14,0,8,0,1,1,1
41,DABANG DELHI K.C.,TELUGU TITANS,26,42,20,26,6,10,0,6,0,0,1,1
42,BENGALURU BULLS,JAIPUR PINK PANTHERS,29,35,15,21,12,10,2,4,0,0,1,1
43,BENGAL WARRIORS,PATNA PIRATES,28,36,20,20,8,11,0,4,0,1,1,1
44,JAIPUR PINK PANTHERS,U MUMBA,30,31,18,20,10,9,2,2,0,0,1,1
45,BENGAL WARRIORS,TELUGU TITANS,34,33,16,20,14,8,4,4,0,1,0,1
46,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,30,39,19,22,9,10,2,6,0,1,1,1
47,PATNA PIRATES,TELUGU TITANS,26,28,16,19,8,5,2,4,0,0,1,1
48,JAIPUR PINK PANTHERS,PUNERI PALTAN,30,21,15,8,11,11,4,2,0,0,0,1
49,BENGALURU BULLS,BENGAL WARRIORS,33,23,14,11,14,12,4,0,1,0,0,1
50,DABANG DELHI K.C.,U MUMBA,29,37,14,19,11,14,4,4,0,0,1,1
51,DABANG DELHI K.C.,PUNERI PALTAN,44,22,24,18,13,3,6,0,1,1,0,1
52,BENGALURU BULLS,PATNA PIRATES,28,33,20,18,6,12,2,2,0,1,1,1
53,BENGALURU BULLS,TELUGU TITANS,26,25,12,13,12,10,2,2,0,0,0,1
54,U MUMBA,PUNERI PALTAN,36,35,21,19,13,13,2,2,0,1,0,1
55,BENGALURU BULLS,JAIPUR PINK PANTHERS,30,29,22,17,6,10,2,2,0,0,0,1
56,JAIPUR PINK PANTHERS,PATNA PIRATES,36,17,16,10,14,7,6,0,0,0,0,1
57,BENGALURU BULLS,U MUMBA,22,26,11,9,9,15,2,2,0,0,1,1
58,BENGALURU BULLS,PATNA PIRATES,22,29,10,8,12,18,0,2,0,1,1,1
59,JAIPUR PINK PANTHERS,U MUMBA,34,22,17,17,13,4,4,0,0,1,0,1
60,U MUMBA,JAIPUR PINK PANTHERS,29,28,10,7,16,15,0,2,3,4,0,2
61,BENGALURU BULLS,BENGAL WARRIORS,33,25,16,9,10,11,4,2,3,3,0,2
62,TELUGU TITANS,DABANG DELHI K.C.,36,27,21,16,10,9,4,0,1,2,0,2
63,U MUMBA,BENGALURU BULLS,36,23,21,14,11,7,4,2,0,0,0,2
64,PUNERI PALTAN,TELUGU TITANS,24,45,14,24,7,14,0,6,3,1,1,2
65,U MUMBA,PATNA PIRATES,25,20,16,14,7,5,2,0,0,1,0,2
